"ICD9_CD","DX_NM","DX_KEY","DX_STAT","DX_ID"
NA,"Contact dermatitis",1043999,"NOT APPLIC",44847
"V58.11","Encounter for antineoplastic chemotherapy",991377,"NOT APPLIC",78722
NA,"Encounter for antineoplastic chemotherapy",991377,"NOT APPLIC",78722
NA,"Exercise-induced asthma",1112138,"NOT APPLIC",149218
"493.81","Exercise-induced asthma",1112138,"NOT APPLIC",149218
"623.5","Vaginal discharge",1107417,"NOT APPLIC",37821
NA,"Vaginal discharge",1107417,"NOT APPLIC",37821
NA,"High blood pressure",1098037,"NOT APPLIC",148462
"401.9","High blood pressure",1098037,"NOT APPLIC",148462
"758.9","Chromosomal abnormality",1025541,"NOT APPLIC",43850
NA,"Chromosomal abnormality",1025541,"NOT APPLIC",43850
NA,"Glucosuria",1115180,"NOT APPLIC",37774
"791.5","Glucosuria",1115180,"NOT APPLIC",37774
"493.01","Status asthmaticus, allergic, moderate persistent",1908672,"DELETED",905653
"616.10","Vaginitis and vulvovaginitis, unspecified",1000788,"NOT APPLIC",6356
NA,"Vaginitis and vulvovaginitis, unspecified",1000788,"NOT APPLIC",6356
"729.89","Bilateral leg weakness",1224071,"NOT APPLIC",234436
"V61.9","Family circumstance",1158270,"NOT APPLIC",91809
NA,"Family circumstance",1158270,"NOT APPLIC",91809
NA,"Bilateral leg weakness",1224071,"NOT APPLIC",234436
NA,"Hyperthyroidism",1172688,"NOT APPLIC",49116
"242.90","Hyperthyroidism",1172688,"NOT APPLIC",49116
"995.0","Drug-induced anaphylaxis",1226209,"NOT APPLIC",234713
NA,"Drug-induced anaphylaxis",1226209,"NOT APPLIC",234713
NA,"Bronchitis with asthma, acute",1239289,"NOT APPLIC",247492
"466.0","Bronchitis with asthma, acute",1239289,"NOT APPLIC",247492
"286.4","Type 1 von Willebrand disease",1186889,"NOT APPLIC",204986
NA,"Type 1 von Willebrand disease",1186889,"NOT APPLIC",204986
"493.90","Bronchitis with asthma, acute",1239289,"NOT APPLIC",247492
"E980.5","Drug-induced anaphylaxis",1226209,"NOT APPLIC",234713
"759.9","Congenital anomaly, unspecified",992591,"NOT APPLIC",9468
NA,"Congenital anomaly, unspecified",992591,"NOT APPLIC",9468
"780.39","Seizure-like activity",1254955,"NOT APPLIC",264935
NA,"Seizure-like activity",1254955,"NOT APPLIC",264935
NA,"S/p nephrectomy",1164593,"NOT APPLIC",189188
"V45.73","S/p nephrectomy",1164593,"NOT APPLIC",189188
"996.01","Mechanical complication due to cardiac pacemaker (electrode)",998383,"NOT APPLIC",12823
NA,"Pruritus",1067024,"NOT APPLIC",54193
NA,"Mechanical complication due to cardiac pacemaker (electrode)",998383,"NOT APPLIC",12823
"698.9","Pruritus",1067024,"NOT APPLIC",54193
"388.70","Ear pain",1172797,"NOT APPLIC",45361
NA,"Ear pain",1172797,"NOT APPLIC",45361
NA,"Folliculitis",1039106,"NOT APPLIC",16353
NA,"Methylmalonic acidemia",1148828,"NOT APPLIC",133857
"704.8","Folliculitis",1039106,"NOT APPLIC",16353
"V60.89","Does not have health insurance",1206869,"NOT APPLIC",218766
"270.3","Methylmalonic acidemia",1148828,"NOT APPLIC",133857
NA,"Does not have health insurance",1206869,"NOT APPLIC",218766
NA,"Long term (current) use of anticoagulants",1008665,"NOT APPLIC",14741
"V58.61","Long term (current) use of anticoagulants",1008665,"NOT APPLIC",14741
"999.31","Central line infection, initial encounter",1583634,"NOT APPLIC",630828
NA,"Central line infection, initial encounter",1583634,"NOT APPLIC",630828
"343.3","Congenital monoplegia",1002994,"NOT APPLIC",3511
"592.0","Calculus of kidney",990914,"NOT APPLIC",6173
NA,"Flatulence, eructation, and gas pain",992234,"NOT APPLIC",9828
NA,"Congenital monoplegia",1002994,"NOT APPLIC",3511
"787.3","Flatulence, eructation, and gas pain",992234,"NOT APPLIC",9828
NA,"Calculus of kidney",990914,"NOT APPLIC",6173
"314.00","ADHD (attention deficit hyperactivity disorder), inattentive type",1311719,"NOT APPLIC",320724
NA,"ADHD (attention deficit hyperactivity disorder), inattentive type",1311719,"NOT APPLIC",320724
"493.90","Asthma, severe persistent, uncomplicated",1889847,"DELETED",904968
NA,"Asthma, severe persistent, uncomplicated",1889847,"DELETED",904968
"V02.59","Carrier or suspected carrier of other specified bacterial diseases(V02.59)",994078,"NOT APPLIC",15207
"381.81","Eustachian tube dysfunction",1122440,"NOT APPLIC",59043
NA,"Eustachian tube dysfunction",1122440,"NOT APPLIC",59043
NA,"Ventricular premature beats",1095231,"NOT APPLIC",19471
"V45.89","S/P T&A (status post tonsillectomy and adenoidectomy)",1219433,"NOT APPLIC",229368
NA,"S/P T&A (status post tonsillectomy and adenoidectomy)",1219433,"NOT APPLIC",229368
"427.69","Ventricular premature beats",1095231,"NOT APPLIC",19471
"253.5","DI (diabetes insipidus)",1362635,"NOT APPLIC",371522
NA,"DI (diabetes insipidus)",1362635,"NOT APPLIC",371522
"V45.89","Other postprocedural status(V45.89)",998357,"NOT APPLIC",14612
"372.51","Pinguecula of right eye",1275841,"NOT APPLIC",279584
NA,"Pinguecula of right eye",1275841,"NOT APPLIC",279584
NA,"Granulation tissue of site of gastrostomy",1251557,"NOT APPLIC",261184
"701.5","Granulation tissue of site of gastrostomy",1251557,"NOT APPLIC",261184
"873.40","Laceration of face, initial encounter",1607202,"NOT APPLIC",604845
NA,"Laceration of face, initial encounter",1607202,"NOT APPLIC",604845
"V45.89","Port catheter in place",1311667,"NOT APPLIC",322280
NA,"S/P VSD closure",1180265,"NOT APPLIC",185727
"V45.89","S/P VSD closure",1180265,"NOT APPLIC",185727
NA,"Port catheter in place",1311667,"NOT APPLIC",322280
"348.39","Chronic static encephalopathy",1245812,"NOT APPLIC",255691
"388.70","Otalgia of right ear",1273532,"NOT APPLIC",277499
NA,"Chronic static encephalopathy",1245812,"NOT APPLIC",255691
NA,"Otalgia of right ear",1273532,"NOT APPLIC",277499
"E980.4","Steroid-induced diabetes mellitus",1031922,"NOT APPLIC",192090
"V85.52","Body mass index, pediatric, 5th percentile to less than 85th percentile for age",999202,"NOT APPLIC",95366
NA,"Steroid-induced diabetes mellitus",1031922,"NOT APPLIC",192090
"429.3","LVH (left ventricular hypertrophy)",1091163,"NOT APPLIC",135660
"249.00","Steroid-induced diabetes mellitus",1031922,"NOT APPLIC",192090
"V19.4","Family history of skin conditions",1005762,"NOT APPLIC",14396
NA,"Body mass index, pediatric, 5th percentile to less than 85th percentile for age",999202,"NOT APPLIC",95366
NA,"Family history of skin conditions",1005762,"NOT APPLIC",14396
NA,"Low-grade glioma of optic nerve",1118884,"NOT APPLIC",193251
NA,"LVH (left ventricular hypertrophy)",1091163,"NOT APPLIC",135660
"225.1","Low-grade glioma of optic nerve",1118884,"NOT APPLIC",193251
"382.00","Acute suppurative otitis media without spontaneous rupture of ear drum, bilateral",1523250,"NOT APPLIC",534246
NA,"Acute suppurative otitis media without spontaneous rupture of ear drum, bilateral",1523250,"NOT APPLIC",534246
NA,"Nausea alone",992161,"NOT APPLIC",9824
"787.02","Nausea alone",992161,"NOT APPLIC",9824
"464.4","Croup",1000361,"NOT APPLIC",5339
NA,"Croup",1000361,"NOT APPLIC",5339
NA,"Allergy to food",1098882,"NOT APPLIC",123581
"V13.63","Personal history of (corrected) congenital malformations of nervous system",1236884,"NOT APPLIC",252303
"V15.05","Allergy to food",1098882,"NOT APPLIC",123581
NA,"Personal history of (corrected) congenital malformations of nervous system",1236884,"NOT APPLIC",252303
"493.01","Status asthmaticus, allergic, mild persistent",1895054,"DELETED",907965
NA,"Back pain",1059364,"NOT APPLIC",42463
"389.9","Hearing loss",1107444,"NOT APPLIC",91780
NA,"Hearing loss",1107444,"NOT APPLIC",91780
"724.5","Back pain",1059364,"NOT APPLIC",42463
"V58.89","Anaphylaxis, subsequent encounter",1611732,"NOT APPLIC",609457
NA,"Anaphylaxis, subsequent encounter",1611732,"NOT APPLIC",609457
"373.11","Stye",1177857,"NOT APPLIC",30126
NA,"Stye",1177857,"NOT APPLIC",30126
NA,"H/O prolonged Q-T interval on ECG",1313460,"NOT APPLIC",323629
"V12.59","H/O prolonged Q-T interval on ECG",1313460,"NOT APPLIC",323629
NA,"Accidental poisoning from berries and seeds(E865.3)",996930,"NOT APPLIC",13441
"786.05","SOB (shortness of breath)",1067211,"NOT APPLIC",91350
"E865.3","Accidental poisoning from berries and seeds(E865.3)",996930,"NOT APPLIC",13441
NA,"SOB (shortness of breath)",1067211,"NOT APPLIC",91350
"380.4","Excessive cerumen in ear canal",1213695,"NOT APPLIC",207751
NA,"Excessive cerumen in ear canal",1213695,"NOT APPLIC",207751
NA,"Urticaria due to food allergy",1277416,"NOT APPLIC",285677
"708.0","Urticaria due to food allergy",1277416,"NOT APPLIC",285677
NA,"Congenital anomaly of diaphragm",992504,"NOT APPLIC",9421
"756.6","Congenital anomaly of diaphragm",992504,"NOT APPLIC",9421
NA,"Tracheostomy status",996924,"NOT APPLIC",14583
NA,"Acute suppurative otitis media with spontaneous rupture of eardrum",1009364,"NOT APPLIC",4676
"V44.0","Tracheostomy status",996924,"NOT APPLIC",14583
"382.01","Acute suppurative otitis media with spontaneous rupture of eardrum",1009364,"NOT APPLIC",4676
"790.99","Secondary thrombocytosis",1070325,"NOT APPLIC",170349
NA,"Secondary thrombocytosis",1070325,"NOT APPLIC",170349
NA,"CF (cystic fibrosis)",1104268,"NOT APPLIC",25522
"465.9","Upper respiratory tract infection",1123869,"NOT APPLIC",115334
"277.00","CF (cystic fibrosis)",1104268,"NOT APPLIC",25522
NA,"Upper respiratory tract infection",1123869,"NOT APPLIC",115334
"339.20","Post-concussion headache",1373712,"NOT APPLIC",384481
NA,"Post-concussion headache",1373712,"NOT APPLIC",384481
NA,"Unspecified nonpsychotic mental disorder",990813,"NOT APPLIC",3039
"300.9","Unspecified nonpsychotic mental disorder",990813,"NOT APPLIC",3039
"192.0","Optic glioma",1172015,"NOT APPLIC",193089
NA,"Inadequate material resources",998573,"NOT APPLIC",14764
"V60.2","Inadequate material resources",998573,"NOT APPLIC",14764
NA,"Optic glioma",1172015,"NOT APPLIC",193089
"346.20","Variants of migraine, not elsewhere classified, without mention of intractable migraine without mention of status migrainosus",991574,"NOT APPLIC",3576
NA,"Variants of migraine, not elsewhere classified, without mention of intractable migraine without mention of status migrainosus",991574,"NOT APPLIC",3576
"782.8","Changes in skin texture",1002800,"NOT APPLIC",9762
NA,"Changes in skin texture",1002800,"NOT APPLIC",9762
NA,"Laceration of buttock",1377926,"NOT APPLIC",389131
"877.0","Laceration of buttock",1377926,"NOT APPLIC",389131
"E906.4","Bite of nonvenomous arthropod(E906.4)",990620,"NOT APPLIC",13655
NA,"Superimposed infection",1035500,"NOT APPLIC",34961
"136.9","Superimposed infection",1035500,"NOT APPLIC",34961
NA,"Cerebral palsy",1138179,"NOT APPLIC",43465
"343.9","Cerebral palsy",1138179,"NOT APPLIC",43465
NA,"Tracheostomy dependence",1016447,"NOT APPLIC",186451
"V44.0","Tracheostomy dependence",1016447,"NOT APPLIC",186451
NA,"Consanguinity",1169138,"NOT APPLIC",44173
"V19.7","Consanguinity",1169138,"NOT APPLIC",44173
"780.99","Flu-like symptoms",1120118,"NOT APPLIC",159144
NA,"Flu-like symptoms",1120118,"NOT APPLIC",159144
"041.9","Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site",994781,"NOT APPLIC",731
NA,"Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site",994781,"NOT APPLIC",731
NA,"Amoxicillin-induced allergic rash",1251745,"NOT APPLIC",254160
"519.9","Respiratory disease",1260185,"NOT APPLIC",269182
NA,"Respiratory disease",1260185,"NOT APPLIC",269182
"693.0","Amoxicillin-induced allergic rash",1251745,"NOT APPLIC",254160
"E980.4","Amoxicillin-induced allergic rash",1251745,"NOT APPLIC",254160
"286.3","Congenital deficiency of other clotting factors",998618,"NOT APPLIC",2755
NA,"Congenital deficiency of other clotting factors",998618,"NOT APPLIC",2755
"493.91","Mild intermittent asthma with status asthmaticus",1261822,"NOT APPLIC",274465
NA,"Mild intermittent asthma with status asthmaticus",1261822,"NOT APPLIC",274465
NA,"Allergic rhinitis",1030108,"NOT APPLIC",91748
"791.9","Other nonspecific finding on examination of urine",1007828,"NOT APPLIC",9934
NA,"Other nonspecific finding on examination of urine",1007828,"NOT APPLIC",9934
NA,"Spasticity",1074909,"NOT APPLIC",66164
"781.0","Spasticity",1074909,"NOT APPLIC",66164
NA,"Autism",1063029,"NOT APPLIC",42414
"477.9","Allergic rhinitis",1030108,"NOT APPLIC",91748
"299.00","Autism",1063029,"NOT APPLIC",42414
"477.8","Allergic rhinitis due to other allergen",992791,"NOT APPLIC",5379
"369.20","Moderate or severe vision impairment, both eyes, impairment level not further specified",1006751,"NOT APPLIC",4104
NA,"Allergic rhinitis due to other allergen",992791,"NOT APPLIC",5379
NA,"Moderate or severe vision impairment, both eyes, impairment level not further specified",1006751,"NOT APPLIC",4104
"376.01","Periorbital cellulitis, right",1815035,"DELETED",802698
"508.2","Smoke inhalation",1132557,"NOT APPLIC",18663
NA,"Smoke inhalation",1132557,"NOT APPLIC",18663
NA,"Primary apnea of newborn",994426,"NOT APPLIC",25449
"770.81","Primary apnea of newborn",994426,"NOT APPLIC",25449
NA,"Intestinal bypass or anastomosis status",1008219,"NOT APPLIC",14601
"V45.3","Intestinal bypass or anastomosis status",1008219,"NOT APPLIC",14601
"V13.81","Personal history of anaphylaxis",1296503,"NOT APPLIC",312104
"493.90","Mild intermittent asthma, uncomplicated",1261823,"NOT APPLIC",274466
NA,"Mild intermittent asthma, uncomplicated",1261823,"NOT APPLIC",274466
NA,"Personal history of anaphylaxis",1296503,"NOT APPLIC",312104
NA,"Radiological examination, not elsewhere classified",998705,"NOT APPLIC",14893
"V72.5","Radiological examination, not elsewhere classified",998705,"NOT APPLIC",14893
"789.02","Abdominal pain, left upper quadrant",999510,"NOT APPLIC",9869
NA,"Other disorder of optic nerve",1005270,"NOT APPLIC",4468
"002.0","Typhoid fever",993150,"NOT APPLIC",6
NA,"Abdominal pain, left upper quadrant",999510,"NOT APPLIC",9869
"377.49","Other disorder of optic nerve",1005270,"NOT APPLIC",4468
NA,"Typhoid fever",993150,"NOT APPLIC",6
"493.90","Asthma",1049038,"NOT APPLIC",92358
NA,"Asthma",1049038,"NOT APPLIC",92358
"790.4","Abnormal AST and ALT",1320442,"NOT APPLIC",331834
NA,"Abnormal AST and ALT",1320442,"NOT APPLIC",331834
"V18.19","Family history of other endocrine and metabolic diseases(V18.19)",997353,"NOT APPLIC",127191
"755.63","Acetabular dysplasia",1199236,"NOT APPLIC",214350
NA,"Acetabular dysplasia",1199236,"NOT APPLIC",214350
NA,"Environmental allergies",1181625,"NOT APPLIC",166973
"V15.09","Environmental allergies",1181625,"NOT APPLIC",166973
NA,"Fever",1142784,"NOT APPLIC",188111
"780.60","Fever",1142784,"NOT APPLIC",188111
"910.8","Superficial head injury, initial encounter",1611111,"NOT APPLIC",608803
NA,"Superficial head injury, initial encounter",1611111,"NOT APPLIC",608803
NA,"Observation following other accident",1008712,"NOT APPLIC",14881
"V71.4","Observation following other accident",1008712,"NOT APPLIC",14881
NA,"Diabetes mellitus",1039528,"NOT APPLIC",30830
"250.00","Diabetes mellitus",1039528,"NOT APPLIC",30830
NA,"Acute asthma exacerbation",1260212,"NOT APPLIC",269209
"493.92","Acute asthma exacerbation",1260212,"NOT APPLIC",269209
"E946.8","Other agents primarily affecting skin and mucous membrane causing adverse effect in therapeutic use",1007361,"NOT APPLIC",13938
NA,"Other agents primarily affecting skin and mucous membrane causing adverse effect in therapeutic use",1007361,"NOT APPLIC",13938
NA,"Pregnancy examination or test, negative result",998523,"NOT APPLIC",62934
"253.8","Hypothalamic dysfunction",1031883,"NOT APPLIC",108877
"428.9","Low cardiac output syndrome",1080884,"NOT APPLIC",19176
"V72.41","Pregnancy examination or test, negative result",998523,"NOT APPLIC",62934
NA,"Hypothalamic dysfunction",1031883,"NOT APPLIC",108877
NA,"Low cardiac output syndrome",1080884,"NOT APPLIC",19176
"401.9","Unspecified essential hypertension",999575,"NOT APPLIC",4881
NA,"Unspecified essential hypertension",999575,"NOT APPLIC",4881
NA,"Residual ventricular septal defect (VSD) following repair",1175017,"NOT APPLIC",168608
"745.4","Residual ventricular septal defect (VSD) following repair",1175017,"NOT APPLIC",168608
NA,"Asthma flare",1250579,"NOT APPLIC",254047
"493.92","Asthma flare",1250579,"NOT APPLIC",254047
NA,"VUR (vesicoureteric reflux)",1077693,"NOT APPLIC",115659
"593.70","VUR (vesicoureteric reflux)",1077693,"NOT APPLIC",115659
NA,"Receptive-expressive language delay",1227815,"NOT APPLIC",238274
"315.32","Receptive-expressive language delay",1227815,"NOT APPLIC",238274
"374.89","Other disorders of eyelid(374.89)",996445,"NOT APPLIC",4353
"V85.51","Body mass index, pediatric, less than 5th percentile for age",1005365,"NOT APPLIC",95365
NA,"Body mass index, pediatric, less than 5th percentile for age",1005365,"NOT APPLIC",95365
NA,"Conjunctivitis, acute",1014504,"NOT APPLIC",60986
"V12.61","Personal history of pneumonia (recurrent)",1008944,"NOT APPLIC",78173
"372.00","Conjunctivitis, acute",1014504,"NOT APPLIC",60986
NA,"Personal history of pneumonia (recurrent)",1008944,"NOT APPLIC",78173
NA,"Pharyngitis with viral syndrome",1269748,"NOT APPLIC",287060
"461.1","Sinusitis, acute frontal",1231987,"NOT APPLIC",242136
NA,"Sinusitis, acute frontal",1231987,"NOT APPLIC",242136
"079.99","Pharyngitis with viral syndrome",1269748,"NOT APPLIC",287060
"462","Pharyngitis with viral syndrome",1269748,"NOT APPLIC",287060
"730.10","Chronic osteomyelitis",1171406,"NOT APPLIC",43863
NA,"Chronic osteomyelitis",1171406,"NOT APPLIC",43863
"708.1","Chronic idiopathic urticaria",1108212,"NOT APPLIC",185247
NA,"Cortical blindness",1081892,"NOT APPLIC",30229
NA,"Chronic idiopathic urticaria",1108212,"NOT APPLIC",185247
"377.75","Cortical blindness",1081892,"NOT APPLIC",30229
NA,"Respiratory distress of newborn",1193016,"NOT APPLIC",203262
"770.89","Respiratory distress of newborn",1193016,"NOT APPLIC",203262
NA,"Unspecified visual loss",1000147,"NOT APPLIC",4132
"369.9","Unspecified visual loss",1000147,"NOT APPLIC",4132
NA,"Bug bite of face without infection, initial encounter",1559115,"NOT APPLIC",552628
"910.4","Bug bite of face without infection, initial encounter",1559115,"NOT APPLIC",552628
"E906.4","Bug bite of face without infection, initial encounter",1559115,"NOT APPLIC",552628
"E946.2","Local astringents and local detergents causing adverse effect in therapeutic use",1003614,"NOT APPLIC",13932
"465.9","Upper respiratory infection",1039454,"NOT APPLIC",144690
NA,"Local astringents and local detergents causing adverse effect in therapeutic use",1003614,"NOT APPLIC",13932
NA,"Upper respiratory infection",1039454,"NOT APPLIC",144690
"847.0","Strain of neck muscle",1034320,"NOT APPLIC",165378
NA,"Strain of neck muscle",1034320,"NOT APPLIC",165378
"493.12","Intrinsic asthma with exacerbation",997900,"NOT APPLIC",15254
NA,"Intrinsic asthma with exacerbation",997900,"NOT APPLIC",15254
NA,"Hypothyroidism",1025989,"NOT APPLIC",91659
"244.9","Hypothyroidism",1025989,"NOT APPLIC",91659
"V85.53","BMI (body mass index), pediatric, 85% to less than 95% for age",1140299,"NOT APPLIC",153530
NA,"BMI (body mass index), pediatric, 85% to less than 95% for age",1140299,"NOT APPLIC",153530
NA,"Family history of aortic dissection",1056048,"NOT APPLIC",168813
"V17.49","Family history of aortic dissection",1056048,"NOT APPLIC",168813
NA,"Macrocephaly",1054777,"NOT APPLIC",22160
"756.0","Macrocephaly",1054777,"NOT APPLIC",22160
"372.00","Acute conjunctivitis, unspecified",992636,"NOT APPLIC",4236
NA,"Contusion, finger",1132078,"NOT APPLIC",62897
NA,"Acute conjunctivitis, unspecified",992636,"NOT APPLIC",4236
"923.3","Contusion, finger",1132078,"NOT APPLIC",62897
"282.61","Hb-SS disease without crisis",993141,"NOT APPLIC",2727
NA,"Hb-SS disease without crisis",993141,"NOT APPLIC",2727
"379.92","Eye swelling, left",1200141,"NOT APPLIC",217816
NA,"Eye swelling, left",1200141,"NOT APPLIC",217816
"276.4","Mixed acid-base balance disorder",992668,"NOT APPLIC",2657
NA,"Mixed acid-base balance disorder",992668,"NOT APPLIC",2657
NA,"Paroxysmal ventricular tachycardia",998551,"NOT APPLIC",5074
"427.1","Paroxysmal ventricular tachycardia",998551,"NOT APPLIC",5074
NA,"Gross motor delay",1228794,"NOT APPLIC",238277
"315.4","Gross motor delay",1228794,"NOT APPLIC",238277
"813.44","Fx low radius w/ ulna-closed",1139665,"NOT APPLIC",85521
NA,"Fx low radius w/ ulna-closed",1139665,"NOT APPLIC",85521
NA,"Amplified musculoskeletal pain syndrome",1226826,"NOT APPLIC",237782
"729.1","Amplified musculoskeletal pain syndrome",1226826,"NOT APPLIC",237782
"041.11","Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site",1003035,"NOT APPLIC",715
NA,"Other autosomal microdeletions",1003755,"NOT APPLIC",57088
"779.7","PVL (periventricular leukomalacia)",1026515,"NOT APPLIC",136477
NA,"Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site",1003035,"NOT APPLIC",715
NA,"PVL (periventricular leukomalacia)",1026515,"NOT APPLIC",136477
"758.33","Other autosomal microdeletions",1003755,"NOT APPLIC",57088
"287.5","Thrombocytopenia",1024626,"NOT APPLIC",91704
NA,"Thrombocytopenia",1024626,"NOT APPLIC",91704
"300.4","Depression with anxiety",1146181,"NOT APPLIC",71903
NA,"Depression with anxiety",1146181,"NOT APPLIC",71903
NA,"Accidental fall from chair",992265,"NOT APPLIC",13576
"299.90","Unspecified pervasive developmental disorder, current or active state",994865,"NOT APPLIC",3008
"786.2","Cough",1001265,"NOT APPLIC",9809
NA,"Unspecified pervasive developmental disorder, current or active state",994865,"NOT APPLIC",3008
"E884.2","Accidental fall from chair",992265,"NOT APPLIC",13576
NA,"Cough",1001265,"NOT APPLIC",9809
NA,"Respiratory distress syndrome",1036034,"DELETED",77569
"079.83","Parvovirus B19",997354,"NOT APPLIC",112660
NA,"Parvovirus B19",997354,"NOT APPLIC",112660
"477.9","Seasonal rhinitis",1107035,"NOT APPLIC",41415
NA,"Place of occurrence, public building",1003194,"NOT APPLIC",13336
"E849.6","Place of occurrence, public building",1003194,"NOT APPLIC",13336
NA,"Seasonal rhinitis",1107035,"NOT APPLIC",41415
"769","Respiratory distress syndrome",1036034,"DELETED",77569
"791.6","Ketonuria",1049079,"NOT APPLIC",37775
NA,"Ketonuria",1049079,"NOT APPLIC",37775
NA,"Lip edema",1089119,"NOT APPLIC",166808
"528.5","Lip edema",1089119,"NOT APPLIC",166808
NA,"Edema of right upper eyelid",1265482,"NOT APPLIC",274054
"374.82","Edema of right upper eyelid",1265482,"NOT APPLIC",274054
"E905.3","Sting of hornets, wasps, and bees as the cause of poisoning and toxic reactions(E905.3)",997070,"NOT APPLIC",13643
NA,"Dermatitis",1160312,"NOT APPLIC",44784
"692.9","Dermatitis",1160312,"NOT APPLIC",44784
NA,"Abdominal pain, generalized",991033,"NOT APPLIC",9874
"381.4","Nonsuppurative otitis media, not specified as acute or chronic",1003753,"NOT APPLIC",4658
NA,"Nonsuppurative otitis media, not specified as acute or chronic",1003753,"NOT APPLIC",4658
NA,"Ear congestion",1080314,"NOT APPLIC",166954
NA,"Anaphylactic reaction due to food",1138355,"NOT APPLIC",189027
"789.07","Abdominal pain, generalized",991033,"NOT APPLIC",9874
"388.8","Ear congestion",1080314,"NOT APPLIC",166954
