"DEPT_KEY","DEPT_NM","SPECIALTY","DEPT_ABBR","DEPT_GRP","DEPT_CNTR","REV_LOC_KEY"
"19811","WOOD COMPASS CARE","GENERAL PEDIATRICS","WCC",NA,"RICHARD D WOOD CENTER","2621"
"6017","UC CHILD DEV","DEVELOPMENTAL PEDIATRICS","UCCD",NA,"CARE NETWORK UNIVERSITY CITY","688"
"29825","PB VIRTUA BODY RAD","BODY RADIOLOGY","VIRTUA BR",NA,NA,"2921"
"7013","MKT 3550 CTRC OUTPATIENT",NA,"MKCT",NA,"MARKET STREET 3550","711"
"4752","PATHOLOGY","ADOLESCENT","PATH",NA,NA,"649"
"5089","CSH BEHAVIORAL HEALTH","BEHAVIORAL HEALTH SERVICES","OCSH",NA,"CHILDREN SEASHORE HOUSE CENTER","682"
"4751","KOP FEEDING","GASTROENTEROLOGY","LFE",NA,"KING OF PRUSSIA SCC","688"
"5047","EXT GASTROENTEROLOGY","GASTROENTEROLOGY","XGAS",NA,"EXTON SPECIALTY CARE CENTER","688"
"5455","PB PA HEMATOLOGY","HEMATOLOGY","PPHM",NA,NA,"688"
"5811","PB SHORE MEMORIAL NEON","NEONATOLOGY","PSMN",NA,NA,"685"
"17511","WB COMPLEX SCHEDULING","MULTIDISCIPLINARY","WBCS",NA,"WANAMAKER BUILDING","681"
"12516","VIRT BERLIN CT SCAN","RADIOLOGY","VTBCT",NA,"VIRTUA BERLIN","689"
"12522","VIRT MARLTON MR SCAN","RADIOLOGY","VTMMR",NA,"VIRTUA MARLTON","689"
"4808","SCHEDULED ACUTE CLN-39TH","GENERAL PEDIATRICS","SAC3",NA,NA,"665"
"5198","PB PA RACH BILLING","OTHER","PB PA RAC*",NA,NA,"689"
"5242","PNJ DIAG RADIOLOGY","RADIOLOGY","PDR",NA,"PRINCETON NJ SPECIALTY CARE CENTER","681"
"4628","SPR OCC THERAPY","OCCUPATIONAL THERAPY","FOC",NA,"CROZIER SPRINGFIELD SPECIALTY CARE CENTER","681"
"5439","PB SHORE MEM GEN PEDS","GENERAL PEDIATRICS","GSGP",NA,NA,"685"
"5177","SOMERS PNT CARE NTWK","GENERAL PEDIATRICS","KSO",NA,"CARE NETWORK SOMERS POINT","683"
"11811","INP OPHTHALMOLOGY","OPHTHALMOLOGY","INPOPHT",NA,"THE CHILDREN'S HOSPITAL OF PHILA MAIN BUILDING","681"
"16814","ADVOCARE TOWNSHIP PEDS","GENERAL PEDIATRICS","ATP",NA,NA,"1211"
"19411","ADVOCARE MERCHANTVILLE","GENERAL PEDIATRICS","AMP",NA,NA,"1211"
"20413","BAYADA HOME HEALTH","HOME CARE","BHHC",NA,NA,"1211"
"22733","BWV DIAG RADIOLOGY","RADIOLOGY","BWDR",NA,"BRANDYWINE VALLEY SPECIALTY CARE CENTER","681"
"5009","CHOP JUV COURT EVAL SERV","PSYCHIATRY","JCE",NA,NA,"660"
"8768","BRY GASTROENTEROLOGY",NA,"BGI",NA,NA,NA
"8813","KF HOCKESSIN",NA,"HOC",NA,NA,NA
"8824","DISCHARGED EMERGENCY",NA,"DSCED",NA,NA,NA
"8758","SPECIAL ADOLESCENT",NA,"SPA",NA,NA,NA
"33812","BCC DERMATOLOGY","DERMATOLOGY","BCCDERM",NA,NA,"688"
"4737","IMMUNIZATION CLINIC-39TH","GENERAL PEDIATRICS","IMZ3",NA,NA,"665"
"4743","DIABETES","ENDOCRINOLOGY","DAB",NA,NA,"649"
"5286","CSH BH AUDIOLOGY","BEHAVIORAL HEALTH SERVICES","JBHA",NA,"CHILDREN SEASHORE HOUSE CENTER","682"
"6911","MKT 3550 ADOL SPC CARE","ADOLESCENT","ADSC",NA,"MARKET STREET 3550","688"
"5271","WOOD BH ENDOCRINOLOGY","BEHAVIORAL HEALTH SERVICES","BHEN",NA,"RICHARD D WOOD CENTER","682"
"5264","WOOD BH PULMONARY","BEHAVIORAL HEALTH SERVICES","BPUL",NA,"RICHARD D WOOD CENTER","682"
"5221","PB MAIN CT SURGERY","CARDIOVASCULAR SURGERY","CTSURGERY",NA,NA,"678"
"4739","RCS-RESEARCH CARDIOLOGY","CARDIOLOGY","RSCA",NA,NA,"649"
"4709","SPUH CARDIOLOGY","CARDIOLOGY","SPCD",NA,"SAINT PETERS UNIVERSITY CARDIOLOGY CENTER","685"
"10213","VIRTUA ENDOCRINOLOGY","ENDOCRINOLOGY","VTEND",NA,"VIRTUA SPECIALTY CARE CENTER","685"
"5458","WOOD 4 LABORATORY","CLINICAL LABORATORY","W4LBT",NA,"RICHARD D WOOD CENTER","681"
"7012","MKT 3550 CTRC GRW/NUT",NA,"MKGN",NA,"MARKET STREET 3550","711"
"26411","LANCASTER HOSPITALISTS","GENERAL PEDIATRICS","LGH",NA,NA,"1211"
"5612","CSH ANES RESOURCE CTR","ANESTHESIA","WARC",NA,"RICHARD D WOOD CENTER","681"
"4844","KOP-CSH OP BBU","CHILD DEVELOPMENT","LBB",NA,NA,"628"
"5005","EXT-CSH OP C2M2","CHILD DEVELOPMENT","ZMC",NA,NA,"637"
"5325","EXT GENETICS","GENETICS","XGNT",NA,NA,"637"
"25711","CHOP SDU PROCEDURES","OBSTETRICS","SDUPRO",NA,NA,"681"
"5190","WOOD PET RADIOLOGY","RADIOLOGY","WPRD",NA,"RICHARD D WOOD CENTER","681"
"5163","VNJ DAY SURGERY","MULTIDISCIPLINARY","VDS",NA,"VOORHEES NEW JERSEY SPECIALTY CARE","681"
"5388","MAIN DIAG RADIOLOGY","RADIOLOGY","MDR",NA,"THE CHILDREN'S HOSPITAL OF PHILA MAIN BUILDING","681"
"5030","MKT 3550 DIAG RADIO*","RADIOLOGY","MKDR",NA,"MARKET STREET 3550","681"
"5392","PB CASE RATE RACH","OTHER","CASERATER*",NA,NA,"681"
"6211","KOP CARE CLINIC","GENERAL PEDIATRICS","KOCC",NA,"KING OF PRUSSIA EAST","681"
"10211","KOP HOME CARE","HOME CARE","KHC",NA,NA,"681"
"31511","BCC NUTRITION","GI/NUTRITION","BCNTR",NA,"BUERGER CENTER FOR ADVANCED PEDIATRIC MEDICINE","681"
"23418","BCC ULTRASOUND","RADIOLOGY","BCUS",NA,"BUERGER CENTER FOR ADVANCED PEDIATRIC MEDICINE","681"
"5144","CHOP DAY TREATMENT PA","PSYCHIATRY","DPA",NA,NA,"660"
"4940","4 EAST","GENERAL PEDIATRICS","4ES",NA,NA,"674"
"4937","ATL PHYSICAL THERAPY","PHYSICAL THERAPY","APT",NA,"ATLANTIC COUNTY SPECIALTY CARE CENTER","681"
"8761","ANN/TERR",NA,"ATC",NA,NA,NA
"8769","BRY HEMATOLOGY",NA,"BHE",NA,NA,NA
"8746","WST JUV COURT EVAL SERV",NA,"CCC",NA,NA,NA
"8826","WOOD 3RD FLOOR",NA,"W3",NA,NA,NA
"4645","ABINGTON CARDIOLOGY","CARDIOLOGY","CRA",NA,"ABINGTON SPECIALTY CARE CENTER","688"
"4794","KOP GENETICS","GENETICS","KGEN",NA,"KING OF PRUSSIA EAST","628"
"4815","EXT FACULTY PRACTICE","GENERAL PEDIATRICS","EOP",NA,NA,"637"
"4852","BROOMALL CARE NTWK","GENERAL PEDIATRICS","KBR",NA,"CARE NETWORK BROOMALL","683"
"4829","CSH-DAY HOSP MARL BEHAV","CHILD DEVELOPMENT","JDM",NA,NA,"626"
"7912","FLT LABORATORY",NA,NA,NA,NA,"-1"
"19715","ANES OPEN TIME",NA,NA,NA,NA,"-1"
"14416","CADORO PEDIATRICS","GENERAL PEDIATRICS","CP",NA,NA,"1211"
"21411","DEPARTMENT OF STATE",NA,"DOS",NA,NA,"1211"
"23311","KIDS AND TEENS PEDS","GENERAL PEDIATRICS","KATP",NA,NA,"1211"
"4664","PNJ-OP OCC THERAPY","CHILD DEVELOPMENT","DOC",NA,NA,"612"
"5197","PB NJ PED GEN THR SURG","GENERAL SURGERY","NJGENSRG",NA,NA,"676"
"5362","PB PA GENERAL PEDS","GENERAL PEDIATRICS","PA GEN PDS",NA,NA,"688"
"4634","TRANSPORT TEAM",NA,"TTT",NA,NA,"674"
"30111","SOUTH PHILA BH","BEHAVIORAL HEALTH SERVICES","SPBH",NA,"CARE NETWORK SOUTH PHILA","682"
"14714","ST MARY CHILDRENS HC","GENERAL PEDIATRICS","SMCH",NA,NA,"1211"
"19211","PB MAIN GI HOSP","GENERAL PEDIATRICS","PB MAIN GI",NA,NA,"688"
"10311","MKT 3440 BH AUTISM","BEHAVIORAL HEALTH SERVICES","MBHA",NA,"MARKET STREET 3440","682"
"5326","EXT ORTHOPEDICS","ORTHOPEDICS","XORT",NA,"EXTON SPECIALTY CARE CENTER","678"
"4854","MAIN NUCLEAR MEDICINE","RADIOLOGY","NUC",NA,"THE CHILDREN'S HOSPITAL OF PHILA MAIN BUILDING","681"
"29829","PB VIRTUA VOOR IR","INTERVENTIONAL RADIOLOGY","VV IR",NA,NA,"2921"
"27911","PSA HEALTHCARE - PHILA","HOME CARE","PSAH",NA,NA,"1211"
"18912","SPR ORTHOPEDICS","ORTHOPEDICS","SPORT",NA,"CROZIER SPRINGFIELD SPECIALTY CARE CENTER","678"
"12524","VIRT MARLTON NUC MED","RADIOLOGY","VTMNM",NA,"VIRTUA MARLTON","689"
"4646","VNJ PED GEN THOR SURG","PEDIATRIC GENERAL THORACIC SURGERY","VSUR",NA,"VOORHEES NEW JERSEY SPECIALTY CARE","676"
"5446","PB DOYELSTOWN NEONAT","NEONATOLOGY","PDN",NA,NA,"688"
"5406","PB PA CHCA BILLING","OTHER","PA CHCA C*",NA,NA,"688"
"4818","MKT 3550 IMMUNOLOGY","IMMUNOLOGY","IMM",NA,"MARKET STREET 3550","688"
"22011","BCC SPEECH THERAPY","SPEECH","BCSP",NA,"BUERGER CENTER FOR ADVANCED PEDIATRIC MEDICINE","681"
"5395","BED MANAGEMENT CENT*","OTHER","ADT-BP",NA,NA,"681"
"4925","CSH DAY MEDICINE","MULTIDISCIPLINARY","DM",NA,"CHILDREN SEASHORE HOUSE CENTER","681"
"5468","KOP PEDIATRIC REHAB","REHAB MEDICINE","KPRH",NA,"KING OF PRUSSIA SCC","688"
"8720","VNJ FAMILY BASED PROGRAM",NA,"VFB",NA,NA,NA
"8736","VNJ YOUTH STUDY CENTER",NA,"VYS",NA,NA,NA
"4886","BUC-OP PSYCHOLOGY","CHILD DEVELOPMENT","BOP",NA,NA,"629"
"5053","ED EXTENDED CARE UNIT","GENERAL PEDIATRICS","EDEC",NA,NA,"-1"
"5085","CSH-ATCO EIP","CHILD DEVELOPMENT","JAE",NA,NA,"626"
"5403","PB MAIN BODY RADIOLOGY","BODY RADIOLOGY","MAINBODRAD",NA,NA,"689"
"5353","PB MAIN CARD ANES CT S","CARDIAC ANESTHESIA","CARDANESCT",NA,NA,"687"
"7921","CHOP CARE NTWK MKT 3550 ADOL INITIATIVE",NA,NA,NA,NA,"-1"
"7923","101012017",NA,NA,NA,NA,"-1"
"16313","ABINGTON PEDIATRICS","GENERAL PEDIATRICS","APA",NA,NA,"1211"
"19011","ADVOCARE ATRIUM PEDS","GENERAL PEDIATRICS","AAP",NA,NA,"1211"
"9711","NEO INT G",NA,"NICG",NA,NA,"681"
"20111","KOP BH NEUROLOGY",NA,NA,NA,NA,"-1"
"19711","TEST DEPT",NA,NA,NA,NA,"-1"
"4934","PNJ BH ADHD","BEHAVIORAL HEALTH SERVICES","ADPR",NA,"PRINCETON NJ SPECIALTY CARE CENTER","682"
"5079","PNJ DIABETES","ENDOCRINOLOGY","DDB",NA,NA,"612"
"5019","RCS-RESRCH KOP ALLERGY","ALLERGY","RSKA",NA,NA,"628"
"4696","VNJ-CSH OP PSYCHOLOGY","CHILD DEVELOPMENT","VPY",NA,NA,"664"
"10212","VIRTUA CARDIOLOGY","CARDIOLOGY","VTCD",NA,"VIRTUA SPECIALTY CARE CENTER","685"
"19111","PRINCETON PEDS","GENERAL PEDIATRICS","PRP",NA,"EXTERNAL AFTER HOURS PRACTICE","2521"
"9511","GIBBSBORO CARE NETWORK","GENERAL PEDIATRICS","PCGB",NA,"CARE NETWORK GIBBSBORO","683"
"16311","PB ATLCARE GEN PEDS","GENERAL PEDIATRICS","PBAGP",NA,NA,"685"
"18811","OSH HOSP AFFILIATES",NA,"OSH",NA,NA,"681"
"5142","CSH3W REHAB",NA,"R3WS",NA,"CHILDREN SEASHORE HOUSE CENTER","690"
"9111","PB NJ NEUROLOGY","NEUROLOGY","PBNJ NEURO",NA,NA,"685"
"20411","THE PED/ADOL MED CTR","GENERAL PEDIATRICS","TPAMCP",NA,NA,"1211"
"28511","WB PRECERT DEPARTMENT","OTHER","WBPD",NA,"WANAMAKER BUILDING","681"
"12513","VIRT VOORHEES MR SCAN","RADIOLOGY","VTVMR",NA,"VIRTUA VOORHEES","689"
"12512","VIRT VOORHEES ULTRA","RADIOLOGY","VTVUS",NA,"VIRTUA VOORHEES","689"
"7815","PB VIRTUA VOOR NEUR","NEUROLOGY","VIRTUA NEUR",NA,NA,"685"
"5485","PB PRINCETON GEN PEDS","GENERAL PEDIATRICS","PNJ GEN PEDS",NA,"PRINCETON NJ SPECIALTY CARE CENTER","685"
"4882","SPR PULMONARY","PULMONARY","FPU",NA,"CROZIER SPRINGFIELD SPECIALTY CARE CENTER","688"
"5140","WOOD LIPID HEART","GI/NUTRITION","LPH",NA,"RICHARD D WOOD CENTER","688"
"16011","ADVOCARE LERCH & AMATO","GENERAL PEDIATRICS","ALAP",NA,NA,"1211"
"16511","ADVOCARE HADDONFIELD","GENERAL PEDIATRICS","AHPA",NA,NA,"1211"
"5301","HB HUP ANCILLARY","MULTIDISCIPLINARY","HUP ANC",NA,"PENN HOSPITAL LOCATION","681"
"4840","LHV HEMA ONCOLOGY","HEMATOLOGY","LVHO",NA,NA,"651"
"5107","CSH DAY HOSP FEEDING","GI/NUTRITION","CDF",NA,"CHILDREN SEASHORE HOUSE CENTER","681"
"8762","ANN/TERR-39TH ST",NA,"ATC3",NA,NA,NA
"8727","CONFIDENTIAL 3",NA,"PCAC",NA,NA,NA
"33312","WOOD IH MASSAGE THRPY","INTEGRATIVE HEALTH","IHMT",NA,"RICHARD D WOOD CENTER","681"
"33212","PB PNJ HEM ONC","HEMATOLOGY ONCOLOGY","PB PNJ HO",NA,"PRINCETON NJ SPECIALTY CARE CENTER","685"
"33111","PB EINSTEIN NEONATLGY","NEONATOLOGY","PBENEO",NA,NA,"688"
"32411","KOP METABOLISM","METABOLISM","KMET",NA,"KING OF PRUSSIA SCC","688"
"32212","BCC BH NEONATAL FOL UP","BEHAVIORAL HEALTH SERVICES","BCNEF",NA,"BUERGER CENTER FOR ADVANCED PEDIATRIC MEDICINE","682"
"32213","BCC NEONATAL FOL UP","NEONATOLOGY","BCNEO",NA,"BUERGER CENTER FOR ADVANCED PEDIATRIC MEDICINE","688"
"32214","BCC CARDIAC KIDS DEV","CARDIOLOGY","BCKDP",NA,"BUERGER CENTER FOR ADVANCED PEDIATRIC MEDICINE","688"
"4733","ATL CHILD DEVELOPMENT","DEVELOPMENTAL PEDIATRICS","ADP",NA,"ATLANTIC COUNTY SPECIALTY CARE CENTER","685"
"4695","CSH AUDIOLOGY","AUDIOLOGY","JAU",NA,"CHILDREN SEASHORE HOUSE CENTER","681"
"4788","ATL AUDIOLOGY","AUDIOLOGY","AAU",NA,"ATLANTIC COUNTY SPECIALTY CARE CENTER","681"
"4941","1 WEST",NA,"1WS",NA,NA,"674"
"17911","ADVOCARE LAUREL PEDS","GENERAL PEDIATRICS","ALP",NA,NA,"1211"
"23514","CHOP RESEARCH",NA,"CHOPR",NA,NA,"681"
"20911","KINDER PEDIATRICS, PC","GENERAL PEDIATRICS","KP",NA,NA,"1211"
"6816","PB MAIN CARD ANES MRI","CARDIAC ANESTHESIA","CARDANESMRI",NA,NA,"687"
"4749","WOOD HEMATOLOGY","HEMATOLOGY","HEM",NA,"RICHARD D WOOD CENTER","688"
"4657","KOP-CSH OP PSYCHOLOGY","CHILD DEVELOPMENT","LPS",NA,NA,"628"
"4779","PNJ-OP SPEECH","CHILD DEVELOPMENT","DSP",NA,NA,"612"
"4762","WOOD NEUROFIBROMATOSIS","GENERAL PEDIATRICS","NFM",NA,"RICHARD D WOOD CENTER","688"
"5096","PRIMARY PEDS-63RD ST","GENERAL PEDIATRICS","PPD6",NA,NA,"671"
"5334","VNJ-OP C2M2","CHILD DEVELOPMENT","VCM",NA,NA,"664"
"14716","TENDER CARE PEDS","GENERAL PEDIATRICS","TCP",NA,NA,"1211"
"16212","MKT 3440 BH EATING DIS","BEHAVIORAL HEALTH SERVICES","MKED",NA,"MARKET STREET 3440","682"
"28211","PB BWV HEM ONC","HEMATOLOGY ONCOLOGY","PBWHO",NA,NA,"688"
"13112","CHOP MAIN PACU",NA,"PACU",NA,NA,"681"
"4656","EXT NEONATAL FOL UP","NEONATAL FOLLOWUP ","XNE",NA,"EXTON SPECIALTY CARE CENTER","688"
"5049","EXT OPHTHALMOLOGY","OPHTHALMOLOGY","XOPH",NA,"EXTON SPECIALTY CARE CENTER","678"
"29820","PB VIRT BERL NUC MED","NUCLEAR MEDICINE","VB NM",NA,NA,"2921"
"29511","TCM SPC IMM FAM CARE","MULTIDISCIPLINARY","TCMG",NA,"MARKET STREET 3550","3021"
"5018","RCS-RESEARCH VNJ PULM","PULMONARY","RSVP",NA,NA,"664"
"4831","VNJ INFECTIOUS DISEASES","INFECTIOUS DISEASE","VID",NA,NA,"664"
"5093","PB WOOD ONCOLOGY","ONCOLOGY","ONC",NA,"RICHARD D WOOD CENTER","688"
"5129","NEURORADIOLOGY","NEURORADIOLOGY","NRD",NA,NA,"649"
"5025","PB MAIN PULMONARY","PULMONARY","MAIN PULM",NA,NA,"688"
"5382","EXT SCC ANCILLARY","MULTIDISCIPLINARY","ESA",NA,"EXTON SPECIALTY CARE CENTER","681"
"8611","CHADDS FORD NEPHROLOGY","NEPHROLOGY","CFNP",NA,"CHADDS FORD SPECIALTY CARE CENTER","688"
"30711","BWV RHEUMATOLOGY","RHEUMATOLOGY","BWRM",NA,"BRANDYWINE VALLEY SPECIALTY CARE CENTER","688"
"23411","BCC DIAG ORTHO RAD","RADIOLOGY","BCXO",NA,"BUERGER CENTER FOR ADVANCED PEDIATRIC MEDICINE","681"
"4712","KOP ORTHOPEDICS","ORTHOPEDICS","KOPO",NA,"KING OF PRUSSIA SCC","678"
"4787","KOP DAY TREAT PA","PSYCHIATRY","KAP",NA,NA,"660"
"8728","DAY HOSPITAL",NA,"DAY",NA,NA,NA
"8828","DISCHARGE UNIT",NA,"DSC",NA,NA,NA
"8717","VNJ CH/ADL PSYCH ASMT SV",NA,"VCA",NA,NA,NA
"8739","WST ADOL IN TRANSITION",NA,"WAS",NA,NA,NA
"8752","WST YOUTH STUDY CTR",NA,"WYS",NA,NA,NA
"33711","BCC BH SAFE PLACE","BEHAVIORAL HEALTH SERVICES","BBSP",NA,"BUERGER CENTER FOR ADVANCED PEDIATRIC MEDICINE","682"
"32911","ABC PEDIATRICS","GENERAL PEDIATRICS","ABCP",NA,NA,"1211"
"4773","KIDS FIRST-WC AT KENNETT","GENERAL PEDIATRICS","KCK",NA,NA,"617"
"4680","CHOP-OP C2M2","CHILD DEVELOPMENT","JOP",NA,NA,"657"
"5102","CSH CHILD DEVELOPMENT","DEVELOPMENTAL PEDIATRICS","JDV",NA,"CHILDREN SEASHORE HOUSE CENTER","688"
"5364","KOP SEDATION UNIT","MULTIDISCIPLINARY","KSU",NA,"KING OF PRUSSIA SCC","681"
"5249","BUC DERMATOLOGY","DERMATOLOGY","BDER",NA,"BUCKS COUNTY SPECIALTY CARE CENTER","688"
"26512","LANCASTER PEDS","GENERAL PEDIATRICS","LPA",NA,NA,"1211"
"26311","KOP ANES RESOURCE CTR","GENERAL ANESTHESIA","KOPA",NA,"KING OF PRUSSIA SCC","681"
"5377","PB MAIN CCM PICU","CRITICAL CARE","CCMPICU",NA,NA,"687"
"4923","MKT 3550 CN CHOP CAMP","GENERAL PEDIATRICS","GPFP",NA,"MARKET STREET 3550","688"
"4761","VNJ NUTRITION","GI/NUTRITION","VNUT",NA,"VOORHEES NEW JERSEY SPECIALTY CARE","681"
"5043","VNJ GENETICS","GENETICS","VGE",NA,"VOORHEES NEW JERSEY SPECIALTY CARE","685"
"6012","S PHILA CHILD DEV","DEVELOPMENTAL PEDIATRICS","SPC",NA,"CARE NETWORK SOUTH PHILA","688"
"14016","PRINCETON NASSAU PEDS","GENERAL PEDIATRICS","PNP",NA,NA,"1211"
"29614","PB BUC BODY RADIOLOGY","BODY RADIOLOGY","PBBUCBR",NA,NA,"689"
"29830","PB VIRT WASH BODY RAD","BODY RADIOLOGY","VWT BR",NA,NA,"2921"
"25211","KENT PEDIATRICS","GENERAL PEDIATRICS","KP2",NA,NA,"1211"
"4982","KOP PHYSICAL THERAPY","PHYSICAL THERAPY","LPT",NA,"KING OF PRUSSIA SCC","681"
"18311","CHILD LIFE     ","MULTIDISCIPLINARY","MCL",NA,"THE CHILDREN'S HOSPITAL OF PHILA MAIN BUILDING","681"
"9211","PB GRANDVIEW NEONATOLOGY","NEONATOLOGY","PGNEO",NA,NA,"688"
"5436","PNJ ORTHOPEDICS","ORTHOPEDICS","PNJO",NA,"PRINCETON NJ SPECIALTY CARE CENTER","676"
"5077","WOOD PED GEN THOR SURG","PEDIATRIC GENERAL THORACIC SURGERY","SUR",NA,"RICHARD D WOOD CENTER","678"
"5178","MAIN NEPHROLOGY","NEPHROLOGY","NEP",NA,"THE CHILDREN'S HOSPITAL OF PHILA MAIN BUILDING","688"
"5229","PB MAIN NEURO SURG","NEUROSURGERY","PMNSG",NA,NA,"678"
"5232","PB MAIN OPHTHALMOLOGY","OPHTHALMOLOGY","PMOPH",NA,NA,"678"
"5038","PB KOP NUCMD RADIOLOGY","NUCLEAR MEDICINE","KOPNUCMED*",NA,NA,"689"
"7112","INP OCC THERAPY","OCCUPATIONAL THERAPY","INP OT",NA,NA,"681"
"7913","ABINGTON SCC ANCILLARY","MULTIDISCIPLINARY","ABA",NA,"ABINGTON SPECIALTY CARE CENTER","681"
"22734","BWV OTOLARYNGOLOGY","OTORHINOLARYNGOLOGY","BWOTO",NA,"BRANDYWINE VALLEY SPECIALTY CARE CENTER","678"
"5367","ATL DIAG RADIOLOGY","RADIOLOGY","ADR",NA,"ATLANTIC COUNTY SPECIALTY CARE CENTER","681"
"4933","BUC PLASTIC SURGERY","PLASTIC SURGERY","IPL",NA,"BUCKS COUNTY SPECIALTY CARE CENTER","678"
"4666","KOP NEPHROLOGY","NEPHROLOGY","KOPN",NA,"KING OF PRUSSIA EAST","628"
"4964","EXT CH/ADOL PSYCH ASMT SV","PSYCHIATRY","ECA",NA,NA,"660"
"8766","BRY ALLERGY",NA,"BAL",NA,NA,NA
"8825","DEPT OF PSYCH",NA,"DP3",NA,NA,NA
"8733","HIGH RISK",NA,"HR",NA,NA,NA
